Sample	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X90	X91	X92	X93	X94	X95	X96	X97	X98	X99	X100	exp
RPE1_scRR1_MidS_010	0.295377919703938	0.347435526633295	0.404275086022553	0.462571806891009	0.512977280030572	0.561628002374763	0.602482397720219	0.634665656094396	0.668313772223188	0.69902191114219	0.729594082528803	0.752534114125605	0.775345874465436	0.800905205129598	0.820648717002668	0.836944297488341	0.855910485544163	0.870805343903706	0.887631967393241	0.902367769394139	0.919661300259052	0.935633637177156	0.954053389678279	0.962308927776971	0.977868231247627	0.99032337029957	0.992149952998846	1.00610330033222	1.017285988515	1.01835833622328	1.0117882824412	1.0226143765296	1.02624188767676	1.03716033707018	1.05101363282312	1.05874069334309	1.06434101642247	1.06187820828861	1.06565194866872	1.05660882505222	1.05836614127273	1.06116502009985	1.06570582259664	1.06244773266957	1.06497467643191	1.06616246827146	1.06873045883603	1.06892799657177	1.06713732982445	1.06921532418739	1.07587260242421	1.07409476280259	1.07885619186137	1.07995419382105	1.07800447071508	1.08163198186224	1.08254527321188	1.0818243887477	1.08589571844398	1.09016458587599	1.09592909616429	1.09948990625783	1.10354327797813	1.10768643957831	1.10905637660277	1.1173016530009	1.11949509149512	1.1219271145273	1.11764285454445	1.12294558830765	1.13090866794045	1.14484918814813	1.14770963717859	1.16799188833094	1.17366917416451	1.18546756438075	1.18285852701395	1.20886680707752	1.20764566471115	1.20564463310239	1.20633216703976	1.19867950384883	1.19033417587026	1.20140655077205	1.20863078796469	1.21054202969356	1.20597557294538	1.17930541319584	1.15904881629488	1.14573682524637	1.12202716610774	1.11119081031878	1.10508253306179	1.09514407607163	1.07391518304283	1.05187305024483	1.01805305063169	0.964851264090149	0.861723738910116	0.706618134980049	scRR1
RPE1_scRR1_MidS_011	0.251127147882709	0.297750419885436	0.348338041431422	0.400549223404879	0.450111259035506	0.500894798156685	0.542739384955786	0.58392977741685	0.621949712421961	0.660117863331784	0.69579360195893	0.723811518842654	0.751171834126164	0.778203348609566	0.800279000256124	0.823635782481337	0.844895394836437	0.86557747625249	0.884015875524808	0.899529140217936	0.91733549235637	0.932412627490807	0.954336655970476	0.968633528066317	0.98522859850073	0.994067036588578	1.00089518999184	1.01013398138551	1.01851243907943	1.02198784650025	1.0238550261734	1.02887051609834	1.03395244763575	1.04158301128175	1.05106201465893	1.05540968119713	1.05999926334992	1.06423960112953	1.06779167194934	1.06814091632251	1.07354483413567	1.08083807882612	1.08596260114074	1.08893543739042	1.09422521192063	1.10087959495285	1.10809447261323	1.11105879070746	1.10848119687035	1.10986113805214	1.11385104206173	1.11075384074259	1.11627701273195	1.11560748571412	1.11951561543145	1.12516485612137	1.12402683055416	1.12398764703912	1.12592637921799	1.12635058335906	1.13327754736546	1.1375298105627	1.14111595400428	1.14092344369126	1.13555700576206	1.14193199329573	1.14361858807349	1.14865111430932	1.14561694734046	1.14858296906577	1.15057621743948	1.15535490264311	1.15694098318663	1.16458517588134	1.16693789041475	1.16842345672404	1.17599268965085	1.18027902546986	1.18404064291357	1.18315475474748	1.18309001676612	1.178474880147	1.1752516101273	1.18416500798305	1.18260107464368	1.18099114326491	1.1773947780368	1.16117450644189	1.14305468618315	1.13056025577908	1.11717823357784	1.10777418996856	1.10256959699278	1.08371380810374	1.06537421943457	1.04049950190938	1.00692434041452	0.948958292623649	0.843638115093023	0.697309833627817	scRR1
RPE1_scRR1_MidS_012	0.297272959614755	0.345924528436006	0.394075284162965	0.45101988701872	0.505829302864942	0.55925205879955	0.603692489559124	0.638361679892979	0.66785849412934	0.703642397479521	0.73614409028163	0.75755519633435	0.782878568118281	0.810837940006038	0.825784249072769	0.845927167128653	0.855553010204417	0.878738502435298	0.894029457072294	0.90846687541418	0.928679799601525	0.949369303991502	0.967527817474844	0.982169869124076	0.991634159588778	0.997950866681293	1.0059854165381	1.01700599715603	1.01761181944751	1.01889347016193	1.01825264480472	1.02410084932516	1.02862432243489	1.03976876005463	1.05297568600893	1.05993591100217	1.06171298972385	1.06142758011098	1.0645347753304	1.04951307504517	1.05338495262362	1.0579165033639	1.06446746174246	1.06479864459513	1.07507339065866	1.07592154186674	1.08756140749374	1.0873890847086	1.09899933235691	1.08551238187677	1.09135520131017	1.09159214513973	1.09939244371049	1.0964575712762	1.09814848860532	1.10435210887009	1.10339356337779	1.09304342609577	1.09461317896658	1.09805963466923	1.10452443165522	1.10868441139006	1.11054495896079	1.1092525380723	1.11507650970107	1.12195057330175	1.11800868959184	1.12298451001255	1.1188999214962	1.12254293287564	1.1315898790951	1.13919900707611	1.14670851094697	1.15523579626751	1.14867945280192	1.1555238984239	1.15762138982419	1.17732273074317	1.18131577277991	1.18192428761491	1.17961139273321	1.17348316368694	1.16965436680477	1.1627964584652	1.16814115734783	1.17044597459898	1.16594673438091	1.14799823929194	1.12885963996816	1.12739758883805	1.11017338795535	1.10870056665117	1.1047344500496	1.08374338078564	1.0750787757457	1.06285193563184	1.03231041451061	0.976962489960852	0.876156353201827	0.725411611820094	scRR1
RPE1_scRR1_MidS_013	0.257268333115869	0.304776908352602	0.356914505822855	0.41307913699859	0.464372153548908	0.514288682897799	0.560742430474952	0.600601258953883	0.636655879331741	0.671488552846713	0.707789359577829	0.734767430537397	0.759788589535668	0.788098223179646	0.806750882645463	0.826674007452546	0.848419270669874	0.868780858763051	0.888829772217784	0.906494092309208	0.922458468676677	0.937238634775555	0.957449276491552	0.972529538364109	0.988290855914657	0.994871399167434	1.00265591947629	1.01218171406476	1.01951339524207	1.02268326916285	1.0257165725519	1.03200959889576	1.03701778405291	1.04358035749888	1.05182131090064	1.05687442057481	1.06128061720392	1.06605519487258	1.072632144164	1.07086750913554	1.07222422954947	1.07953794091998	1.08425860916822	1.08561353260148	1.09185804046696	1.09476016426632	1.10106217551358	1.10304604218509	1.10456628784098	1.10808297903314	1.11426459257479	1.11161224909006	1.11346134221051	1.11331938073674	1.11532481117641	1.11793941806685	1.11929074753875	1.11766627700339	1.12319738353863	1.12270680781279	1.12821635057986	1.13430272414544	1.1390683169107	1.13915457198337	1.13535575482434	1.13974038768528	1.14122109976619	1.14482584301171	1.14147267706149	1.1431115234423	1.14483842187647	1.15111347841353	1.15204072044478	1.15930591333691	1.15831937094319	1.16296097204148	1.16851903328693	1.17755245516888	1.17791185130502	1.17550030323151	1.17520919236123	1.1707113497174	1.16660165490061	1.17373746518372	1.17467009815701	1.17636105697757	1.17155233667598	1.15384668602889	1.13869634190979	1.13151021616761	1.11618736190316	1.10501014206911	1.10011157273348	1.08040408560809	1.06253850368042	1.04008163611353	1.00482667213859	0.946324169097248	0.843822594088606	0.695163773315128	scRR1
RPE1_scRR1_MidS_014	0.237797038546442	0.284646828705839	0.336665595622539	0.389036051492822	0.437264235454166	0.486997024172575	0.529246495923003	0.574183268346982	0.613432039186998	0.652348974482102	0.690107321571248	0.721989059694066	0.749629258864597	0.779057682916048	0.799291142552041	0.823435723696027	0.84275309033196	0.8625341758704	0.884689161845526	0.90159717552929	0.917230316756314	0.929729455614713	0.949582864284736	0.963498685661803	0.98117530988122	0.990314968372527	0.999134136123875	1.01085615584291	1.01873512288367	1.02178262111451	1.02764788527589	1.03315153377934	1.03891753089736	1.04769131942889	1.05940766674545	1.0685657605448	1.06682858728618	1.07633411573726	1.07893633037365	1.08119252845894	1.08674297428283	1.09445035114866	1.10050705889363	1.10245694724515	1.10693672710148	1.10915463647005	1.11612034671199	1.11627917398135	1.11636000571665	1.12029523493517	1.12530680252373	1.11877503107129	1.12428577007784	1.12541599627142	1.1266795239232	1.1342450907271	1.13529164898413	1.13883122812987	1.13896311148747	1.13904536132339	1.14382294230977	1.15191178824218	1.15229609351001	1.15410842610146	1.15087232048824	1.15806209062803	1.16166406620102	1.1653610545155	1.16299708078315	1.16664585367658	1.1637430017089	1.16561347642574	1.16463215079719	1.16797319585623	1.16723152923234	1.17158651623417	1.17960587523625	1.18094172601961	1.18789183715474	1.18719271354943	1.18833286644734	1.18484859322575	1.1844699603604	1.18650068044722	1.18338369528603	1.18300222621944	1.17602375307192	1.15814434046395	1.14257075946294	1.13113661416962	1.11495324990231	1.09730073339342	1.0782485515733	1.05255682265367	1.02440894346143	0.990480886144984	0.950323112808004	0.88750692777605	0.788493724436786	0.659602559149757	scRR1
RPE1_scRR1_MidS_015	0.226784178780135	0.272457402666891	0.322796170929176	0.372889384224327	0.41735844432995	0.466216012437926	0.507938319866322	0.551891084912845	0.590854047101598	0.62921886257554	0.668638305151913	0.696085369010245	0.724898725890831	0.757093185780403	0.778443875358565	0.80497168216045	0.827214869599924	0.846838804056644	0.869876896998695	0.889014443732055	0.907268937025918	0.920467516509322	0.942284130896916	0.955921875994616	0.97091961783336	0.980823668174395	0.985999211327816	0.998177793255436	1.00568610859662	1.00719091980546	1.01191155664157	1.01781274620427	1.02152440397671	1.02973318060234	1.04008741504979	1.04809156253614	1.05117044404712	1.06032681099464	1.06286893453259	1.06371106214423	1.06912901212418	1.0774700106552	1.08455490108511	1.08665785900876	1.09319025076262	1.09794236900477	1.10687836610999	1.10939687859341	1.11034604298559	1.11439297773238	1.12006435303098	1.11484316183879	1.11888694844498	1.12056175924645	1.12200360764321	1.12852655497526	1.13132525197245	1.13123080775432	1.13422941167989	1.13160071427533	1.13986615743184	1.14853298851539	1.15262399723064	1.15507325062077	1.1520762207655	1.15956722133336	1.16068323717758	1.16765479454573	1.1688133102881	1.1711696935304	1.16828599673689	1.17019062180247	1.1709508977584	1.17557236816547	1.17802004748529	1.1815617056651	1.190412702974	1.19184510694895	1.1984420355852	1.1979320368073	1.20124230665269	1.2010990662552	1.20169406482941	1.20689321903736	1.20790849438224	1.20961636066005	1.20349480125505	1.18904798402205	1.17577384916415	1.16485609754854	1.14832835937612	1.13532024239927	1.12491248956155	1.10041838159003	1.07919204356573	1.0494562814881	1.0121555375384	0.947975969109437	0.842165389329604	0.692485470229262	scRR1
RPE1_scRR1_MidS_016	0.227652294424978	0.273548577769961	0.321359431463929	0.370154272847717	0.417739490287167	0.468622468369569	0.510672254381619	0.553583196512983	0.590251090560766	0.629852255917281	0.670023519976038	0.700113249372881	0.72951538900004	0.759642501918342	0.782697453652144	0.808769789617958	0.831093092431785	0.853979818319023	0.876630226945612	0.894590338754919	0.912718676410788	0.927876359236469	0.948285091701311	0.964235839232219	0.981348146179876	0.989125253769023	0.997374995879468	1.00986643254969	1.01711883571265	1.01896397952179	1.02321902533923	1.02963430464667	1.0355021823899	1.04160370714225	1.05186681890839	1.06035554853101	1.06345971593784	1.07276420740372	1.07913676268664	1.08219553581741	1.08923832423505	1.09803680303548	1.10472578312503	1.10597813109389	1.11302626001459	1.11432400225951	1.12440687204719	1.12779008073919	1.12825336938013	1.13428680271839	1.13674610438005	1.12989557407277	1.13301042248573	1.13271001918829	1.13713863135537	1.14287299652196	1.14236431360497	1.14525486088917	1.14896117001664	1.14823753185126	1.15561944221356	1.16548602162709	1.16840994705545	1.17086524333982	1.16577173854109	1.17016697256401	1.16986256388927	1.17175310197446	1.16974106744453	1.17218167734547	1.16830847749721	1.17065295834297	1.17119501940412	1.17336726902601	1.17271839790355	1.1720454945173	1.18106159881764	1.18349553308975	1.19203766774303	1.19005500597996	1.19188679853143	1.19245556210791	1.18982669947391	1.19439950522375	1.19131669982919	1.187877415855	1.18055692127795	1.16416424711837	1.14736435960005	1.1314710224771	1.11537207598612	1.09908621188785	1.08379101110823	1.0573461750536	1.02793869492338	0.994811554408024	0.952684331101524	0.88787866152734	0.786411773534205	0.65416489612301	scRR1
RPE1_scRR1_MidS_003	0.229075305802414	0.273887392795001	0.322991798716842	0.372971310695019	0.422160314825159	0.47221887758814	0.514870243129426	0.55669226885821	0.597128825569118	0.63482218136175	0.67227422423235	0.703113738296913	0.733678654898473	0.766161593173429	0.786596914473125	0.812698928872961	0.833618262872595	0.85386081120584	0.875519339386183	0.892616498597764	0.910576282162817	0.924268710204344	0.946591542348213	0.961803964427369	0.978698642681383	0.988905901912177	0.997815064045143	1.0089750932612	1.01563893573457	1.01780520460937	1.02288109710729	1.02792093135249	1.03220631600238	1.03917942733559	1.05007456707976	1.05731118102899	1.06056058434118	1.07096477710605	1.07436257399674	1.076150231218	1.08457815436277	1.09301301178692	1.09652037029163	1.09987240093848	1.10712704401406	1.11047352723742	1.117178975387	1.11810123454304	1.11748685739097	1.11919407697156	1.12613806433142	1.12405361995317	1.12813652364549	1.12963016742152	1.13103921298925	1.1381315939276	1.13858786951007	1.1405780076889	1.14492441399723	1.14490915858261	1.15087402569561	1.15815640588867	1.1581813692944	1.1588096150052	1.15477109070085	1.16118113854931	1.16347361130862	1.1653292244677	1.16545265464046	1.16810432307107	1.16601987869283	1.16650111768102	1.16409630959594	1.16985314832787	1.1727045240043	1.17498035449312	1.18353725523415	1.18272178398039	1.18991817910927	1.19074474521003	1.19446845323105	1.19476940095565	1.1961035563062	1.20462301193864	1.20416812321205	1.2007259469334	1.19279451819143	1.17348532386122	1.15467123707794	1.13789860214081	1.12104414270714	1.10495522771577	1.09140564582924	1.0675017979893	1.04364232953731	1.01183062950525	0.972373193041212	0.905795789966003	0.800447444084259	0.662562072548483	scRR1
RPE1_scRR1_MidS_004	0.276302414759246	0.322642757317739	0.368728695611427	0.42332385083837	0.469341947994777	0.523585783046514	0.565274161905733	0.593428233877378	0.627593515191678	0.66251716350487	0.69920225848961	0.718667819093757	0.741537551050759	0.768109470785099	0.786940232176116	0.806839491479311	0.822164319811553	0.843912250105656	0.85992518140175	0.871305532180649	0.886836306822495	0.90739944011194	0.929069837677722	0.949107202153239	0.96437388093924	0.973324065264822	0.980444961781574	0.991173553063024	0.995767367216056	1.00015523505949	1.00018188693485	1.01042347576653	1.01286817960641	1.02128048062926	1.03765926948712	1.04258259773552	1.05160304609614	1.05344687129153	1.05587946064261	1.04614183454501	1.04903235157274	1.05807945180872	1.06540871753284	1.06866751502009	1.07596286017556	1.0795439030649	1.08569079468212	1.08652669440933	1.08925972308265	1.0869046664599	1.09367908859696	1.09212358823502	1.09818567843063	1.09770109887863	1.0984061621268	1.10110527023148	1.09998589146634	1.09689669682229	1.09946981424346	1.10078544772716	1.10736361514566	1.11474133882498	1.11673296078373	1.11928669502281	1.11807040034727	1.12751970161142	1.1290970080532	1.13769587220358	1.13453641352449	1.13533354688754	1.14214431249101	1.15134647818364	1.15511408420049	1.16905786080951	1.17483647196721	1.18507563790113	1.18744765480821	1.21064932375833	1.21308918180269	1.2110999827417	1.21329512811229	1.21057905972329	1.20311653462237	1.20734206831588	1.20952509919767	1.2084081433303	1.20810770400805	1.19070645229546	1.17854592843782	1.17498669162833	1.16103564632603	1.14637226908228	1.14285179863694	1.12969304090217	1.11694617578661	1.1051418178997	1.0767914912095	1.02883507584506	0.919620536413573	0.743383799143908	scRR1
RPE1_scRR1_MidS_005	0.230506372143676	0.274576382070631	0.3230223064937	0.37297774638135	0.419758722856938	0.469876596690683	0.511931585510466	0.5552818450211	0.593418815037642	0.633516194748443	0.671235877558636	0.700703635848634	0.731945564911938	0.762798212621666	0.784592367251278	0.810922069737822	0.830811826378724	0.852199896143096	0.874314717786982	0.892714563060247	0.91078954044132	0.923254945511533	0.944199122509419	0.960457920338024	0.975771520635469	0.986473957273487	0.995906328488153	1.00738592754068	1.01525837275577	1.01690931777687	1.02379595697427	1.03082402572819	1.03447318834479	1.04376132941767	1.05485304740926	1.0640389671195	1.06533003693244	1.07673682076775	1.08012692924618	1.08099651097485	1.08934365539448	1.0968702283278	1.10258062170865	1.1037204599166	1.10921380793844	1.11154669547461	1.11933792371665	1.12018230017782	1.12143416179687	1.12479346383725	1.12961187080721	1.12532837562525	1.12739100668214	1.12751143184907	1.12750583067852	1.13550990340165	1.13702782062206	1.13880059110273	1.14157457082011	1.14015607437705	1.14463421023579	1.15151524826264	1.15247444872019	1.15561530510892	1.15107975725199	1.15660531200452	1.16014245121002	1.16205945183248	1.16176118950043	1.16647457452248	1.16428591712811	1.16706969889395	1.16725873840019	1.17063064307431	1.17172287133254	1.17476850782184	1.18507046076517	1.18568098835567	1.19266704833043	1.1916616382158	1.19810578493936	1.19837884200392	1.1982808215192	1.20255591494533	1.20239208070659	1.20172414111791	1.19133957090889	1.17196372166641	1.15354567258884	1.14035211534647	1.1255398198137	1.11014920342113	1.09636752327048	1.07103342885009	1.04106856667334	1.00905507636608	0.969047315384158	0.902796670059296	0.800312052413962	0.66492335834312	scRR1
